match_overview_ball_possession_all,match_overview_expected_goals_all,match_overview_big_chances_all,match_overview_total_shots_all,match_overview_goalkeeper_saves_all,match_overview_corner_kicks_all,match_overview_fouls_all,match_overview_passes_all,match_overview_tackles_all,match_overview_free_kicks_all,match_overview_yellow_cards_all,shots_total_shots_all,shots_shots_on_target_all,shots_hit_woodwork_all,shots_shots_off_target_all,shots_blocked_shots_all,shots_shots_inside_box_all,shots_shots_outside_box_all,attack_big_chances_scored_all,attack_big_chances_missed_all,attack_touches_in_penalty_area_all,attack_fouled_in_final_third_all,attack_offsides_all,passes_accurate_passes_all,passes_throw-ins_all,passes_final_third_entries_all,passes_final_third_phase_all,passes_long_balls_all,passes_crosses_all,duels_duels_all,duels_dispossessed_all,duels_ground_duels_all,duels_aerial_duels_all,duels_dribbles_all,defending_tackles_won_all,defending_total_tackles_all,defending_interceptions_all,defending_recoveries_all,defending_clearances_all,defending_errors_lead_to_a_shot_all,goalkeeping_total_saves_all,goalkeeping_goals_prevented_all,goalkeeping_high_claims_all,goalkeeping_punches_all,goalkeeping_goal_kicks_all,match_overview_ball_possession_1st,match_overview_expected_goals_1st,match_overview_big_chances_1st,match_overview_total_shots_1st,match_overview_goalkeeper_saves_1st,match_overview_corner_kicks_1st,match_overview_fouls_1st,match_overview_passes_1st,match_overview_tackles_1st,match_overview_free_kicks_1st,match_overview_yellow_cards_1st,shots_total_shots_1st,shots_shots_on_target_1st,shots_hit_woodwork_1st,shots_shots_off_target_1st,shots_blocked_shots_1st,shots_shots_inside_box_1st,shots_shots_outside_box_1st,attack_big_chances_scored_1st,attack_big_chances_missed_1st,attack_fouled_in_final_third_1st,attack_offsides_1st,passes_accurate_passes_1st,passes_throw-ins_1st,passes_final_third_entries_1st,passes_long_balls_1st,passes_crosses_1st,duels_duels_1st,duels_dispossessed_1st,duels_ground_duels_1st,duels_aerial_duels_1st,duels_dribbles_1st,defending_tackles_won_1st,defending_total_tackles_1st,defending_interceptions_1st,defending_recoveries_1st,defending_clearances_1st,goalkeeping_total_saves_1st,goalkeeping_goal_kicks_1st,match_overview_ball_possession_2nd,match_overview_expected_goals_2nd,match_overview_big_chances_2nd,match_overview_total_shots_2nd,match_overview_goalkeeper_saves_2nd,match_overview_corner_kicks_2nd,match_overview_fouls_2nd,match_overview_passes_2nd,match_overview_tackles_2nd,match_overview_free_kicks_2nd,match_overview_yellow_cards_2nd,shots_total_shots_2nd,shots_shots_on_target_2nd,shots_hit_woodwork_2nd,shots_shots_off_target_2nd,shots_blocked_shots_2nd,shots_shots_inside_box_2nd,shots_shots_outside_box_2nd,attack_big_chances_scored_2nd,attack_big_chances_missed_2nd,attack_fouled_in_final_third_2nd,attack_offsides_2nd,passes_accurate_passes_2nd,passes_throw-ins_2nd,passes_final_third_entries_2nd,passes_long_balls_2nd,passes_crosses_2nd,duels_duels_2nd,duels_dispossessed_2nd,duels_ground_duels_2nd,duels_aerial_duels_2nd,duels_dribbles_2nd,defending_tackles_won_2nd,defending_total_tackles_2nd,defending_interceptions_2nd,defending_recoveries_2nd,defending_clearances_2nd,goalkeeping_total_saves_2nd,goalkeeping_goal_kicks_2nd
33,2.19,3,12,3,4,9,305,13,6,1,12,2,0,4,7,10,3,2,1,20,4,1,245,5,46,52,25,3,46,4,24,6,4,5,13,7,39,19,0,3,-0.18,2,1,7,35,0.2,0,4,2,2,2,196,6,0,0,4,0,0,2,2,4,0,0,0,0,0,158,3,27,14,0,52,3,8,3,2,2,6,5,22,9,2,6,31,1.77,2,8,1,2,6,114,7,5,1,8,2,0,2,5,5,2,2,1,3,1,92,2,19,11,2,40,1,15,3,2,3,7,2,17,9,1,2
37,2.46,3,14,3,5,10,343,15,7,1,14,2,0,4,8,11,3,2,1,22,4,1,276,6,52,59,28,3,52,4,27,7,5,6,15,8,44,21,0,3,-0.2012,2,1,8,35,0.2,0,4,2,2,2,196,6,0,0,4,0,0,2,2,4,0,0,0,0,0,158,3,27,14,0,52,3,8,3,2,2,6,5,22,9,2,6,40,2.27,3,10,1,3,8,147,9,7,1,10,2,0,2,6,7,3,2,1,4,1,118,3,25,14,3,52,1,19,4,3,4,9,3,22,12,1,2
