match_id,player_id,player_name,position,shirt_number,substitute,captain,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,rating_original,rating_alternative,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,interceptionWon,unsuccessfulTouch,fouls,keyPass,aerialLost,aerialWon,dispossessed,blockedScoringAttempt,outfielderBlock,errorLeadToAShot,totalOffside,expectedGoals,shotValueNormalized,shotOffTarget,bestBallCarryProgression,totalProgressiveBallCarriesDistance,onTargetScoringAttempt,expectedGoalsOnTarget,totalTackle,wonTackle,wasFouled,hitWoodwork,goals,bigChanceMissed,bigChanceCreated,lastManTackle,errorLeadToAGoal,topSpeed,kilometersCovered,numberOfSprints,metersCoveredWalkingKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredHighSpeedRunningKm,metersCoveredSprintingKm,clearanceOffLine
14083422,857574,Andriy Lunin,G,13,False,False,40.0,36.0,12.0,8.0,0.0,35.0,37.0,1.0,3.0,1.0,9.0,2.0,2.0,3.0,1.0,1.0,90.0,52.0,7.4,4.0,0.00107703,39.867913487121,5.0,22.57221637596,0.0,0.0759,7.4,7.6,0,0.4819,0.11,0.02,0.24,0.09,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14083422,795064,Trent Alexander-Arnold,D,12,False,False,69.0,62.0,9.0,7.0,0.0,32.0,34.0,30.0,35.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,90.0,96.0,7.0,23.0,0.119619,161.01714735552,24.0,83.93652131366,0.0,0.0,7.0,7.3,0,0.0,0.29,0.16,-0.04,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14083422,142622,Antonio Rüdiger,D,22,False,False,65.0,62.0,5.0,5.0,0.0,51.0,53.0,11.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,76.0,7.1,4.0,0.00448366,134.70210678056,17.0,48.724910968129,0.0,0.0,7.1,7.1,1,0.0,0.1,0.0,0.25,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0352,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14083422,1176744,Dean Huijsen,D,24,False,False,97.0,89.0,14.0,9.0,0.0,57.0,58.0,32.0,39.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,90.0,107.0,7.8,8.0,0.0235007,192.84120753323,24.0,124.26671305445,2.0,0.0,7.8,7.4,1,0.0,0.5,0.12,0.23,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0244,-0.1,1.0,24.924154298324,48.301959241287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14083422,792073,Ferland Mendy,D,23,False,False,11.0,11.0,0.0,0.0,0.0,8.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,6.7,0.0,0.00090523,29.619922426914,3.0,-4.7003356023329,0.0,0.0,6.7,6.5,0,0.0,0.02,-0.02,0.0,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14083422,831808,Federico Valverde,M,8,False,True,55.0,52.0,4.0,4.0,0.0,22.0,23.0,30.0,32.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,62.0,7.0,4.0,0.0877402,177.17351315163,14.0,84.885242465484,4.0,0.0,7.0,7.2,2,0.0,0.09,0.15,0.23,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1144,-0.28,0.0,21.775256798466,87.698566900067,1.0,0.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14083422,2237795,Thiago Pitarch,M,45,False,False,36.0,33.0,0.0,0.0,0.0,17.0,17.0,16.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,46.0,6.7,7.0,0.0203812,100.87382957298,10.0,31.910142838242,0.0,0.0,6.7,6.9,0,0.0,-0.07,0.03,-0.05,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14083422,859025,Aurélien Tchouaméni,M,14,False,False,70.0,64.0,5.0,4.0,0.0,30.0,30.0,34.0,40.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,84.0,86.0,7.7,6.0,0.0375506,164.55783309886,21.0,94.715996139188,0.0,0.0,7.7,7.8,1,0.0,0.26,0.13,0.46,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,0.0,2.0,5.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0237,-0.04,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14083422,868812,Vinicius Júnior,M,7,False,False,31.0,27.0,4.0,3.0,0.0,3.0,3.0,24.0,28.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,84.0,54.0,10.0,10.0,0.299973,337.8884215565,28.0,171.16843987702,8.0,0.0,10.0,9.6,4,0.0,0.09,0.88,-0.02,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,0.0,4.0,10.0,0.0,2.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.8605,0.86,0.0,29.486589825304,159.61170133128,2.0,1.5469,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14083422,991011,Jude Bellingham,F,5,False,False,62.0,58.0,8.0,8.0,1.0,30.0,30.0,28.0,32.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,90.0,82.0,7.7,11.0,0.109573,294.06013540399,31.0,100.3992445503,2.0,0.0,7.7,7.6,3,0.0,0.2,0.31,0.18,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,0.0,4.0,9.0,0.0,6.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.4276,-0.51,0.0,34.039102497293,55.845087195411,1.0,0.4411,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
